tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles,count_gas_stations,avg_gas_station_visits_on_weekday,avg_gas_station_visits_on_weekend,land_m
04013061046,AZ,6547.0,5844,5903.0,0.99,64083,33.5257549,-112.3494519,"51,176","1,864",3.64,"50,598",33.0,8.21,7,179.0,162.0,2569060.0
04005002000,AZ,3196.0,1918,0.9,2138.6,64215,36.9594231,-112.4797669,"14,976",280,1.87,"71,664",48.0,0.0,4,38.0,42.0,7.229253801E9
04007001300,AZ,2821.0,1044,7.1,147.54,43457,33.0003044,-110.7759521,"9,136",456,4.99,"39,784",50.0,58.6,4,183.0,235.0,3.8144077E8
04012020501,AZ,15849.0,1419,2.2,637.86,41608,33.8011877,-114.0235788,"14,760",80,0.54,"42,873",73.0,83.86,4,713.0,700.0,1.650800874E9
04013071911,AZ,3332.0,3246,3416.8,0.95,82368,33.5739624,-112.2290099,"3,276",106,3.24,"75,300",31.0,6.35,4,226.0,225.0,2604814.0
04005001500,AZ,5745.0,3528,1.3,2685.11,67682,35.0783383,-111.6618545,"192,384","3,008",1.56,"65,140",55.0,91.17,4,101.0,184.0,6.91887944E9
04005945200,AZ,1931.0,4056,866.7,4.68,58204,36.1167529,-111.255555,"116,667","3,267",2.8,"49,722",30.0,0.0,4,80.0,101.0,1.213189E7
04005001000,AZ,2801.0,10422,9561.5,1.09,13701,35.1866671,-111.6518764,"347,679","36,099",10.38,"13,333",19.0,97.2,4,199.0,284.0,2789310.0
04011960100,AZ,1055.0,2951,2.3,1278.58,43006,33.0626753,-109.2948101,"21,264",864,4.06,"48,060",41.0,18.82,4,69.0,58.0,3.307966447E9
04012020202,AZ,5085.0,581,3.3,176.15,51579,34.242257,-114.0479699,"6,896",96,1.39,"45,052",66.0,81.58,4,63.0,100.0,4.53235583E8
04001945001,AZ,4511.0,4133,97.6,42.34,37392,35.6807365,-109.0538646,"264,192","10,240",3.88,"38,432",40.0,0.0,4,57.0,43.0,1.09611701E8
04009961700,AZ,2401.0,5303,14.6,362.05,51018,32.8100159,-109.6736182,"363,776","7,552",2.08,"45,051",36.0,18.36,4,164.0,134.0,9.30848048E8
04003001200,AZ,3264.0,2753,21.5,127.86,43476,31.4475373,-109.9876479,"84,294","1,215",1.44,"36,687",47.0,26.36,4,48.0,46.0,3.29297827E8
04013061043,AZ,8845.0,2827,515.9,5.48,76856,33.5931262,-112.3358691,"22,264",392,1.76,"77,070",31.0,8.27,4,447.0,497.0,1.4137417E7
04007000100,AZ,4830.0,2908,16.4,177.61,56926,34.3909291,-111.5026558,"176,832","2,560",1.45,"52,952",65.0,68.12,4,41.0,67.0,4.60049968E8
