tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles
04017940015,AZ,2232.0,4071,4.9,834.5,35889,35.3550533,-110.5457326,"122,769","9,153",7.46,"28,998",35.0,null
04017940100,AZ,893.0,4282,4.9,878.5,35737,34.1838162,-110.4144568,"38,552","2,472",6.41,"32,839",25.0,94.77
04017940302,AZ,1563.0,3116,23.0,135.52,32304,33.7134158,-109.9318449,"24,912","2,408",9.67,"30,867",28.0,98.84
04017942400,AZ,5877.0,2682,2.8,952.46,26638,36.6118874,-110.0766687,"20,616",504,2.44,"20,193",31.0,null
04017942500,AZ,4538.0,4808,138.3,34.76,38458,36.6965507,-110.277912,"44,432","1,408",3.17,"32,397",27.0,null
04017960100,AZ,6318.0,1813,8.7,208.78,56438,35.0823669,-110.0053042,"13,824",320,2.31,"55,092",39.0,null
04013216901,AZ,16090.0,3544,3192.8,1.11,97215,33.5338929,-111.9115126,"89,721","1,377",1.53,"81,985",53.0,5.6
04013216902,AZ,3676.0,3843,3843.0,1.0,92851,33.5316778,-111.8954233,"34,016",600,1.76,"83,989",40.0,5.66
04013217101,AZ,1833.0,2627,5254.0,0.5,73204,33.4987037,-111.9076094,"77,733",0,0.0,"92,091",37.0,5.39
04013217102,AZ,3448.0,2746,5492.0,0.5,100734,33.4984977,-111.8959748,"23,408",296,1.26,"80,843",39.0,7.34
04013217201,AZ,1375.0,2451,3063.8,0.8,80903,33.4944737,-111.9228055,"17,896","1,224",6.84,"80,575",34.0,6.16
04013217501,AZ,917.0,3093,7732.5,0.4,49588,33.4857402,-111.936714,"103,437","1,026",0.99,"43,607",34.0,5.6
04013217502,AZ,688.0,3629,11706.5,0.31,77247,33.483941,-111.9325927,"85,671","1,134",1.32,"67,046",37.0,6.21
04013217600,AZ,2910.0,5036,6714.7,0.75,70663,33.4835118,-111.9126226,"132,057","4,428",3.35,"59,392",39.0,5.46
04013217800,AZ,2524.0,6047,6108.1,0.99,82006,33.4767387,-111.9046368,"406,080","7,168",1.77,"62,037",40.0,6.64
04013217900,AZ,630.0,3682,3645.5,1.01,89044,33.4767049,-111.9218562,"113,238","2,268",2.0,"73,152",40.0,5.77
04013218000,AZ,2062.0,5613,5557.4,1.01,84041,33.4765843,-111.9391305,"382,912","11,520",3.01,"68,777",36.0,5.86
04013218200,AZ,1032.0,6897,6897.0,1.0,89385,33.4621318,-111.9219509,"582,208","11,200",1.92,"73,638",29.0,5.67
04013218300,AZ,1833.0,4616,5305.7,0.87,46213,33.455108,-111.90161,"124,983",405,0.32,"47,050",44.0,7.33
04013318400,AZ,1986.0,5840,1848.1,3.16,58655,33.4476431,-111.9221824,"150,930","6,480",4.29,"46,638",30.0,6.62
04013318501,AZ,2291.0,3317,6634.0,0.5,61543,33.4558696,-111.9390078,"91,503","1,944",2.12,"54,251",42.0,5.77
04013318700,AZ,459.0,5937,6249.5,0.95,65799,33.4271114,-111.9378794,"30,744","1,032",3.36,"58,795",21.0,5.6
04013318800,AZ,3290.0,7468,7394.1,1.01,52285,33.4237031,-111.9479068,"469,376","13,440",2.86,"39,369",26.0,6.05
04013318900,AZ,1299.0,6427,6427.0,1.0,57859,33.4148908,-111.9498635,"449,152","12,736",2.84,"53,416",30.0,6.94
04013319103,AZ,5056.0,5390,14567.6,0.37,28933,33.4199997,-111.9131448,"143,586","8,181",5.7,"33,598",27.0,5.53
04013319104,AZ,1004.0,7240,14480.0,0.5,29993,33.4128314,-111.913416,"462,592","14,272",3.09,"24,939",26.0,5.7
04013319201,AZ,1375.0,7038,13800.0,0.51,41824,33.4169364,-111.9047262,"438,336","15,232",3.47,"41,247",25.0,6.29
04013319202,AZ,4598.0,3680,7215.7,0.51,37090,33.4092844,-111.9002077,"28,312","1,112",3.93,"30,622",29.0,6.57
04013319300,AZ,1604.0,2425,5773.8,0.42,31401,33.417039,-111.8867329,"3,005",176,5.86,"30,055",27.0,7.1
04013319401,AZ,3436.0,6404,6217.5,1.03,82563,33.3801503,-111.9228926,"904,500","34,500",3.81,"75,262",34.0,6.68
04013319402,AZ,2749.0,4085,4044.6,1.01,83363,33.3821183,-111.9005967,"32,752",816,2.49,"75,935",41.0,5.96
